Loan_Status,Current_Loan_Amount,Term,Credit_Score,Annual_Income,Years_in_current_job,Home_Ownership,Purpose,Monthly_Debt,Years_of_Credit_History,Months_since_last_delinquent,Number_of_Open_Accounts,Number_of_Credit_Problems,Current_Credit_Balance,Maximum_Open_Credit,Bankruptcies,Tax_Liens
Fully_Paid,99999999,Short_Term,741.0,2231892.0,8_years,Own_Home,Debt_Consolidation,29200.53,14.9,29.0,18,1,297996,750090.0,0.0,0.0
Fully_Paid,217646,Short_Term,730.0,1184194.0,<_1_year,Home_Mortgage,Debt_Consolidation,10855.08,19.6,10.0,13,1,122170,272052.0,1.0,0.0
Fully_Paid,548746,Short_Term,678.0,2559110.0,2_years,Rent,Debt_Consolidation,18660.28,22.6,33.0,4,0,437171,555038.0,0.0,0.0
Fully_Paid,99999999,Short_Term,728.0,714628.0,3_years,Rent,Debt_Consolidation,11851.06,16.0,76.0,16,0,203965,289784.0,0.0,0.0
Fully_Paid,99999999,Short_Term,740.0,776188.0,<_1_year,Own_Home,Debt_Consolidation,11578.22,8.5,25.0,6,0,134083,220220.0,0.0,0.0
Fully_Paid,234124,Short_Term,727.0,693234.0,10+_years,Rent,Debt_Consolidation,14211.24,24.7,46.0,10,1,28291,107052.0,1.0,0.0
Fully_Paid,666204,Long_Term,723.0,1821967.0,10+_years,Home_Mortgage,Debt_Consolidation,17612.24,22.0,34.0,15,0,813694,2004618.0,0.0,0.0
Not_Paid,317108,Long_Term,687.0,1133274.0,8_years,Rent,Debt_Consolidation,9632.81,17.4,53.0,4,0,60287,126940.0,0.0,0.0
Fully_Paid,465410,Long_Term,688.0,1722654.0,3_years,Rent,Buy_House,15647.45,22.3,30.0,7,0,107559,488356.0,0.0,0.0
Fully_Paid,99999999,Short_Term,746.0,1749748.0,10+_years,Home_Mortgage,Debt_Consolidation,19247.19,20.0,32.0,17,0,224390,295240.0,0.0,0.0
Fully_Paid,449108,Short_Term,718.0,1454507.0,8_years,Home_Mortgage,Debt_Consolidation,13090.43,28.8,21.0,14,0,193990,458414.0,0.0,0.0
Not_Paid,688468,Long_Term,682.0,1494616.0,<_1_year,Rent,Debt_Consolidation,14697.07,16.6,50.0,8,0,343995,843854.0,0.0,0.0
Fully_Paid,311762,Long_Term,680.0,2211657.0,4_years,Home_Mortgage,Debt_Consolidation,44601.74,14.5,15.0,11,0,213921,509652.0,0.0,0.0
Fully_Paid,129712,Short_Term,723.0,1465698.0,10+_years,Own_Home,Debt_Consolidation,18199.15,19.4,6.0,34,1,45106,163218.0,0.0,0.0
Fully_Paid,287980,Short_Term,737.0,1013954.0,<_1_year,Home_Mortgage,Debt_Consolidation,16138.6,18.6,13.0,11,0,223117,489302.0,0.0,0.0
Not_Paid,219692,Long_Term,6610.0,527839.0,10+_years,Rent,Debt_Consolidation,14207.63,17.0,48.0,9,0,254277,379918.0,0.0,0.0
Not_Paid,374176,Long_Term,652.0,1239199.0,10+_years,Home_Mortgage,Other,5163.25,36.6,42.0,10,0,126350,415602.0,0.0,0.0
Fully_Paid,99999999,Long_Term,730.0,2509520.0,10+_years,Home_Mortgage,Debt_Consolidation,34714.9,40.8,35.0,12,0,733324,1035496.0,0.0,0.0
Not_Paid,176198,Short_Term,736.0,1902090.0,10+_years,Home_Mortgage,Debt_Consolidation,28372.89,15.4,7.0,9,0,206872,620554.0,0.0,0.0
Fully_Paid,130922,Short_Term,747.0,2261304.0,2_years,Rent,Debt_Consolidation,9761.25,16.1,30.0,6,0,110428,235488.0,0.0,0.0
Fully_Paid,174548,Short_Term,721.0,1620681.0,6_years,Rent,Other,30522.74,15.0,27.0,7,0,40489,128832.0,0.0,0.0
Not_Paid,290224,Long_Term,644.0,837045.0,7_years,Home_Mortgage,Debt_Consolidation,8230.99,18.3,10.0,11,0,176624,370480.0,0.0,0.0
Fully_Paid,718784,Long_Term,672.0,1648915.0,10+_years,Home_Mortgage,Debt_Consolidation,15664.74,12.0,5.0,10,0,252016,489610.0,0.0,0.0
Fully_Paid,602008,Long_Term,741.0,2896721.0,2_years,Own_Home,Debt_Consolidation,48278.62,19.6,32.0,17,0,5246261,11887678.0,0.0,0.0
Fully_Paid,171248,Short_Term,747.0,3035725.0,10+_years,Home_Mortgage,Debt_Consolidation,42500.15,31.5,17.0,11,0,25460,151140.0,0.0,0.0
Fully_Paid,323466,Long_Term,699.0,2048618.0,6_years,Home_Mortgage,Debt_Consolidation,27997.64,14.0,72.0,19,1,389994,743952.0,1.0,0.0
Fully_Paid,211222,Short_Term,694.0,947625.0,4_years,Rent,Debt_Consolidation,8923.35,18.0,65.0,9,1,93081,397694.0,1.0,0.0
Fully_Paid,162360,Short_Term,720.0,486875.0,10+_years,Rent,Debt_Consolidation,8560.83,15.1,46.0,16,0,129504,434654.0,0.0,0.0
Fully_Paid,99999999,Short_Term,699.0,2770162.0,5_years,Home_Mortgage,Debt_Consolidation,48708.4,25.6,25.0,13,0,348802,449262.0,0.0,0.0
Fully_Paid,389884,Short_Term,657.0,4776125.0,1_year,Home_Mortgage,Debt_Consolidation,42985.22,21.5,4.0,14,1,237500,562386.0,1.0,0.0
Fully_Paid,433312,Short_Term,736.0,1010401.0,7_years,Home_Mortgage,Debt_Consolidation,22228.86,16.1,11.0,19,0,201780,613228.0,0.0,0.0
Fully_Paid,99999999,Short_Term,737.0,2015159.0,6_years,Home_Mortgage,Debt_Consolidation,21494.89,10.5,54.0,16,0,321214,478060.0,0.0,0.0
Fully_Paid,392282,Long_Term,688.0,974662.0,8_years,Home_Mortgage,Debt_Consolidation,10396.42,12.0,10.0,11,0,35663,242946.0,0.0,0.0
Fully_Paid,378334,Short_Term,714.0,2120514.0,2_years,Rent,Debt_Consolidation,35695.3,17.0,24.0,12,0,75335,413402.0,0.0,0.0
Fully_Paid,99999999,Short_Term,734.0,1355802.0,3_years,Rent,Debt_Consolidation,15365.68,44.5,31.0,8,0,25441,1841796.0,0.0,0.0
Not_Paid,194942,Short_Term,742.0,1212238.0,1_year,Rent,Debt_Consolidation,25254.99,27.4,19.0,13,1,176396,339834.0,1.0,0.0
Fully_Paid,731566,Short_Term,705.0,1377443.0,10+_years,Home_Mortgage,Debt_Consolidation,13429.96,20.4,65.0,18,0,563008,1070432.0,0.0,0.0
Fully_Paid,156772,Short_Term,748.0,1411966.0,6_years,Home_Mortgage,Home_Improvements,22591.38,18.0,73.0,10,0,38456,251548.0,0.0,0.0
Not_Paid,78738,Short_Term,6240.0,536370.0,2_years,Rent,Other,14034.92,10.5,15.0,14,0,138586,266112.0,0.0,0.0
Fully_Paid,453464,Short_Term,712.0,895147.0,3_years,Rent,Debt_Consolidation,17007.85,14.2,77.0,12,1,137845,222926.0,1.0,0.0
Fully_Paid,166672,Short_Term,705.0,1048667.0,10+_years,Home_Mortgage,Debt_Consolidation,16166.91,16.0,18.0,10,0,167656,267014.0,0.0,0.0
Not_Paid,119504,Short_Term,745.0,938315.0,2_years,Home_Mortgage,Buy_House,11807.17,13.0,9.0,11,0,32300,104170.0,0.0,0.0
Fully_Paid,33022,Short_Term,723.0,1673007.0,7_years,Rent,Debt_Consolidation,25234.47,23.3,80.0,13,0,125609,323928.0,0.0,0.0
Fully_Paid,280588,Short_Term,717.0,671080.0,3_years,Rent,Debt_Consolidation,17447.89,10.0,70.0,10,1,168169,470360.0,1.0,0.0
Not_Paid,556336,Long_Term,714.0,1402960.0,10+_years,Home_Mortgage,Debt_Consolidation,19524.4,19.5,38.0,5,0,317338,389246.0,0.0,0.0
Fully_Paid,541310,Short_Term,722.0,1682982.0,1_year,Home_Mortgage,Debt_Consolidation,52733.36,17.9,35.0,13,0,356288,619432.0,0.0,0.0
Not_Paid,765160,Long_Term,719.0,2643242.0,7_years,Home_Mortgage,Debt_Consolidation,34582.47,20.5,47.0,19,0,249755,489302.0,0.0,0.0
Fully_Paid,545886,Short_Term,718.0,1565182.0,7_years,Rent,Debt_Consolidation,41477.0,15.0,6.0,16,0,80465,296714.0,0.0,0.0
Fully_Paid,354046,Long_Term,676.0,1815469.0,10+_years,Home_Mortgage,Home_Improvements,5522.16,13.0,6.0,6,0,20976,70840.0,0.0,0.0
Not_Paid,86174,Short_Term,7210.0,837311.0,1_year,Home_Mortgage,Debt_Consolidation,10884.91,13.6,82.0,15,0,360867,671770.0,0.0,0.0
Not_Paid,509586,Long_Term,678.0,1816001.0,2_years,Rent,Debt_Consolidation,26180.67,13.9,74.0,32,1,115672,319638.0,1.0,0.0
Fully_Paid,99999999,Short_Term,709.0,1806083.0,10+_years,Home_Mortgage,Debt_Consolidation,29348.92,16.1,25.0,22,0,492556,724680.0,0.0,0.0
Fully_Paid,218988,Short_Term,740.0,775409.0,4_years,Home_Mortgage,Debt_Consolidation,8141.88,14.9,9.0,5,0,100206,186230.0,0.0,0.0
Not_Paid,663168,Long_Term,732.0,1527296.0,2_years,Home_Mortgage,Debt_Consolidation,22145.83,17.0,32.0,8,0,331075,543774.0,0.0,0.0
Fully_Paid,752290,Long_Term,649.0,2320375.0,3_years,Rent,Debt_Consolidation,39252.86,13.4,16.0,13,0,431053,513502.0,0.0,0.0
Fully_Paid,99999999,Short_Term,734.0,622991.0,6_years,Own_Home,Debt_Consolidation,8046.88,10.7,75.0,15,0,69179,238370.0,0.0,0.0
Not_Paid,552882,Long_Term,686.0,1262151.0,10+_years,Rent,Debt_Consolidation,23770.71,23.4,48.0,13,0,299706,694056.0,0.0,0.0
Not_Paid,402534,Short_Term,741.0,3090160.0,9_years,Rent,Debt_Consolidation,23639.8,19.6,6.0,15,0,691467,1332188.0,0.0,0.0
Not_Paid,232716,Short_Term,637.0,1049427.0,5_years,Rent,Home_Improvements,12942.99,9.5,61.0,20,0,226442,389026.0,0.0,0.0
Fully_Paid,286462,Long_Term,719.0,1380426.0,10+_years,Home_Mortgage,Debt_Consolidation,27378.62,15.7,75.0,10,0,177916,335522.0,0.0,0.0
Fully_Paid,223256,Short_Term,740.0,804916.0,7_years,Home_Mortgage,Debt_Consolidation,6774.64,34.4,7.0,13,0,308142,587818.0,0.0,0.0
Fully_Paid,537878,Short_Term,743.0,1296807.0,1_year,Home_Mortgage,Debt_Consolidation,24963.53,18.4,70.0,12,0,249223,515306.0,0.0,0.0
Fully_Paid,214786,Short_Term,723.0,883329.0,9_years,Home_Mortgage,Debt_Consolidation,11924.97,14.3,79.0,5,0,154755,193314.0,0.0,0.0
Fully_Paid,109538,Short_Term,697.0,567606.0,7_years,Home_Mortgage,Debt_Consolidation,5770.68,14.3,62.0,10,0,86716,151206.0,0.0,0.0
Fully_Paid,117986,Short_Term,694.0,1886890.0,5_years,Rent,Debt_Consolidation,3207.77,12.0,19.0,7,0,80408,351296.0,0.0,0.0
Fully_Paid,87846,Short_Term,736.0,625879.0,4_years,Own_Home,Debt_Consolidation,6988.96,50.1,56.0,16,0,96330,714978.0,0.0,0.0
Fully_Paid,190498,Short_Term,706.0,892164.0,1_year,Rent,Debt_Consolidation,8996.12,13.2,64.0,6,0,88160,117744.0,0.0,0.0
Fully_Paid,229086,Short_Term,715.0,787626.0,8_years,Rent,Debt_Consolidation,6543.79,23.9,36.0,7,1,71231,152460.0,1.0,0.0
Not_Paid,393558,Long_Term,678.0,2317392.0,2_years,Own_Home,Debt_Consolidation,22015.3,14.7,27.0,8,0,124184,145552.0,0.0,0.0
Fully_Paid,99999999,Short_Term,726.0,1153851.0,<_1_year,Rent,Debt_Consolidation,7125.0,13.5,39.0,7,0,165984,286440.0,0.0,0.0
Not_Paid,87912,Short_Term,7500.0,960184.0,10+_years,Rent,Debt_Consolidation,3432.73,43.3,42.0,9,0,86051,301026.0,0.0,0.0
Not_Paid,156178,Short_Term,716.0,1124040.0,3_years,Rent,Other,8617.64,12.0,33.0,9,5,6194,108790.0,0.0,0.0
Fully_Paid,605726,Short_Term,748.0,3609145.0,10+_years,Home_Mortgage,Debt_Consolidation,43610.7,23.0,59.0,10,0,378423,475772.0,0.0,0.0
Not_Paid,168300,Long_Term,7020.0,688522.0,2_years,Rent,Other,11762.14,17.0,30.0,9,0,128041,273042.0,0.0,0.0
Fully_Paid,174460,Short_Term,723.0,1318429.0,3_years,Own_Home,Other,10547.47,15.0,55.0,14,0,55176,443586.0,0.0,0.0
