elevation,aspect,slope,horz dist water,vert dist water,horz dist road,hillshade 9am,hillshade noon,hillshade 3pm,horz dist fire,wilderness area,cover
2900,341,19,216,97,4615,177,208,168,4999,1,1
3191,86,17,162,29,3946,242,210,93,1445,1,1
3090,108,10,42,10,3512,237,229,122,2932,1,1
3104,162,8,234,38,1728,228,242,147,2143,1,2
2693,255,12,0,0,1168,192,247,193,2481,1,2
2985,2,29,190,126,708,166,171,132,3207,0,2
2844,109,11,400,52,2069,240,227,116,2821,1,2
3118,12,10,301,72,4863,210,220,146,778,1,2
2933,288,22,67,11,722,152,232,217,1100,0,2
2969,127,10,150,24,698,237,234,127,1910,1,2
3183,322,17,258,23,3933,176,222,185,2081,0,1
3130,19,17,1114,261,2806,205,202,129,1677,0,2
2924,24,13,467,88,2546,212,212,134,1342,0,1
3087,27,24,124,12,1245,201,179,104,731,1,1
2945,280,4,323,9,4475,208,240,170,5181,1,2
3057,162,2,240,23,6710,221,239,154,3288,1,2
3020,313,18,309,137,5297,170,224,193,1240,1,2
3261,77,15,481,82,4803,238,211,100,3115,1,1
3008,132,6,997,36,5754,231,237,139,6030,1,2
3059,111,4,216,-2,2989,227,235,143,858,1,2
2998,9,18,339,82,4753,196,200,137,3601,1,1
3098,297,11,134,-12,3822,190,237,186,1914,1,1
3209,233,5,499,59,6015,212,244,170,2491,1,1
3264,312,11,382,43,2033,189,232,183,3195,1,1
3130,27,8,216,16,5041,217,222,141,2415,1,2
3343,53,18,342,136,2083,227,197,97,2193,0,1
2975,118,10,218,43,4405,238,231,122,1860,1,2
3302,225,2,270,-4,5683,216,241,162,624,1,1
3105,112,14,242,-19,940,244,224,106,2175,1,2
3054,107,19,255,66,4303,249,213,84,2532,1,2
2595,315,4,85,2,300,210,236,165,1158,1,2
2974,84,10,361,44,808,234,224,121,2255,1,2
3299,185,17,67,7,4609,221,250,156,3083,0,1
2864,78,9,30,6,3098,232,223,123,2672,1,2
2756,117,36,120,59,1233,254,183,24,1218,0,2
3118,291,23,630,77,1064,150,229,216,1107,0,2
3411,236,31,366,156,3342,151,248,221,618,1,1
2946,38,20,90,10,1245,215,191,103,1291,0,1
2969,7,16,190,41,2837,199,206,142,1350,0,1
3131,53,14,417,72,1830,227,210,113,3315,0,1
2528,315,4,240,45,180,210,236,165,437,0,2
3219,100,22,417,64,1412,250,205,73,1613,0,2
3256,201,8,474,54,2509,217,247,165,1440,0,2
2898,286,8,120,34,1142,199,240,181,600,0,2
2907,111,4,216,40,3262,227,235,143,2893,1,2
3096,25,13,60,6,3736,213,212,133,3968,1,1
3082,240,7,379,28,2845,208,246,176,1740,0,2
3038,37,2,309,10,1451,219,234,151,2676,1,2
3274,249,19,391,56,3194,176,250,209,1182,0,2
2985,337,14,566,-2,4429,189,220,170,3248,1,1
2736,51,13,124,5,1134,226,212,118,850,0,2
2745,67,14,362,15,1423,233,211,106,2349,1,2
2968,50,11,362,49,4791,225,216,124,5511,1,2
2742,2,18,90,29,2944,193,203,146,6369,1,2
2801,82,15,134,19,2282,239,213,100,3369,1,2
2985,320,36,319,172,1080,108,181,201,1319,0,1
2841,28,9,150,36,2086,217,220,138,2556,1,2
3082,21,13,722,223,1929,211,212,135,3074,0,1
3161,199,17,626,-45,457,211,253,170,1864,0,2
3109,105,12,212,57,882,240,225,113,1634,1,1
2676,56,3,190,14,234,222,232,146,1022,0,2
2833,140,15,256,54,722,241,235,120,2894,0,2
3152,211,21,362,125,3181,197,254,184,1110,0,1
3132,342,10,85,19,3503,200,226,164,4043,1,1
2888,108,2,0,0,633,223,236,149,2571,1,1
2910,299,28,212,76,1283,132,217,220,1250,0,1
2850,298,19,242,82,3862,163,230,205,5707,1,1
3008,315,6,175,42,450,205,235,170,391,0,1
3114,266,12,335,63,3153,189,245,196,514,0,2
2631,52,12,0,0,977,226,215,121,1613,0,2
3044,71,19,319,-45,703,237,201,88,1041,1,1
2955,343,24,124,41,3796,164,196,166,2658,1,2
3199,338,17,330,8,3903,182,214,171,1581,0,1
2798,156,6,228,49,3300,227,241,148,6000,1,2
3027,167,13,170,6,5322,230,244,144,1806,1,2
2972,18,1,30,0,5463,218,236,156,2325,1,1
2978,34,2,324,53,1947,219,235,153,816,0,1
2800,290,15,0,0,2522,177,237,199,1678,0,1
3031,86,18,458,17,6585,243,208,88,2754,1,2
2866,350,22,510,171,2634,176,198,157,1998,1,2
2845,78,27,153,28,1516,242,180,51,2610,0,2
2711,86,13,60,4,2446,239,217,107,2006,1,2
3041,47,8,335,7,6615,223,223,134,3489,1,2
3160,275,8,631,52,5735,198,242,184,1339,1,2
2974,245,21,323,177,2711,172,251,212,1771,0,1
3151,54,14,67,0,2704,228,209,111,1818,0,1
3080,9,5,342,48,2746,215,230,153,1412,0,2
2692,1,26,0,0,1438,174,182,138,1110,0,2
2955,259,26,192,42,5138,147,243,228,1456,1,2
2928,142,14,60,6,4410,240,236,121,4538,1,1
3173,61,11,847,162,2382,229,217,120,3065,0,1
3167,59,11,335,22,1920,228,218,121,3066,1,2
3157,8,5,0,0,5036,214,230,153,2770,1,1
2941,0,8,577,168,1084,208,225,154,2704,0,2
3306,203,16,190,38,3447,210,253,173,459,0,1
3166,292,24,402,70,1585,146,228,218,2496,0,1
3269,311,5,240,26,5643,207,236,168,537,1,1
2780,53,12,0,0,2213,227,214,119,1250,1,2
2914,141,9,277,18,3471,234,238,135,4430,1,2
3150,34,15,90,13,1645,216,205,120,162,1,1
2854,139,13,108,22,992,240,235,123,1738,0,2
3114,35,11,541,19,5363,219,215,131,1523,1,1
2769,92,20,95,54,2021,246,205,79,721,0,2
3189,32,9,242,-24,2926,218,221,139,1464,1,1
2838,172,15,216,28,1976,229,246,145,2435,1,1
2844,301,15,644,112,134,176,232,196,1682,0,2
3136,129,13,360,-17,2965,241,232,118,1087,0,2
3039,101,1,212,28,3027,221,237,152,488,1,1
3253,127,12,510,175,443,240,232,120,2942,0,1
3137,191,24,120,36,2859,212,250,160,1123,0,1
3131,343,21,0,0,1138,171,202,166,2614,1,1
3046,34,14,488,75,2192,217,210,125,2389,0,1
3217,320,20,309,98,1862,163,216,190,2017,0,2
3128,27,19,983,259,2761,208,194,116,2165,0,2
2821,43,8,170,22,997,222,223,136,2315,0,2
3261,289,11,124,22,3415,190,239,189,1584,0,1
2676,42,11,150,-5,1634,222,216,128,5655,1,2
3062,0,14,0,0,2795,199,214,151,2143,0,1
2932,58,20,420,149,1944,230,195,89,2162,0,1
2901,357,14,30,5,1695,197,213,153,2774,0,2
2638,278,7,134,-8,541,202,241,179,1589,1,2
3153,238,6,604,116,1908,209,245,173,792,0,2
3166,290,11,162,29,2244,189,239,190,641,0,1
2929,257,22,384,108,1136,164,247,218,201,0,2
2837,96,2,175,14,685,223,236,149,582,0,1
2850,69,23,120,56,150,237,187,69,1167,1,2
3034,359,12,376,101,649,202,219,153,1682,0,2
3144,319,19,295,58,228,169,220,189,1146,0,1
3122,16,15,1124,253,2798,206,208,137,1589,0,2
2833,34,7,30,0,2758,219,225,142,2496,1,1
2638,59,14,300,71,541,230,210,110,1820,1,2
3183,209,17,510,108,2018,205,254,179,924,1,1
2557,49,20,391,38,360,224,194,96,2522,1,2
3285,100,8,648,124,1289,234,229,127,1717,0,1
3051,356,21,331,192,752,182,198,150,3116,0,2
2940,10,11,192,-8,2110,208,218,146,360,0,2
3237,71,16,0,0,2431,236,208,99,1663,0,1
3161,182,25,85,30,2579,218,246,146,1231,0,1
3219,117,1,0,0,5810,220,237,153,693,1,1
3264,122,9,30,3,6325,236,233,128,108,1,1
3251,3,13,424,64,4313,201,214,149,1006,0,1
3295,112,18,750,141,1284,248,217,90,2477,1,1
2567,77,8,120,22,595,231,225,127,1110,1,2
3286,240,9,120,7,3710,203,248,183,1674,0,1
2993,187,11,488,89,3636,221,248,159,1024,1,2
3213,9,10,42,-5,2925,209,221,149,2047,1,1
2976,275,5,836,177,1044,206,241,174,2308,0,2
3221,201,12,150,20,3724,215,250,169,2872,1,1
3354,267,39,85,33,3396,95,222,248,1638,1,1
3268,345,11,127,29,3570,198,222,163,2454,0,1
2996,294,12,330,79,1503,186,237,191,1471,0,2
3202,129,16,437,48,1209,244,229,109,2165,1,1
2991,342,12,42,-3,3354,194,221,165,1103,0,1
3172,27,11,150,9,1661,215,217,137,242,1,1
2938,50,7,0,0,2160,224,224,135,2139,0,1
3326,241,13,127,34,2818,194,250,193,904,0,1
2597,145,13,120,-4,2576,238,238,128,2096,0,2
2956,148,9,30,2,2257,232,240,139,1075,0,1
2997,27,6,134,-12,4080,217,226,145,1019,1,2
2947,210,18,108,16,2461,203,254,181,1489,0,2
2896,307,11,642,141,1252,188,233,185,1144,0,2
3188,165,9,30,-4,830,228,243,147,1338,1,1
3007,197,19,1033,134,3083,211,252,168,1448,0,2
3140,349,8,301,-37,787,205,226,160,1084,0,1
2955,47,8,309,55,4643,223,223,135,5588,1,2
2959,57,12,752,207,1423,228,215,119,1825,0,2
2948,261,11,108,16,2532,192,246,193,730,0,2
3067,17,16,552,23,3701,206,206,134,2718,1,2
3000,143,15,400,1,5042,240,236,121,2932,1,2
3147,44,14,256,19,1622,222,209,118,1825,0,2
2922,272,31,799,547,875,123,231,238,2136,0,2
3152,146,7,424,177,2131,230,239,142,3810,1,1
2865,305,22,30,12,1041,152,221,207,1812,1,1
2724,70,32,67,45,1532,235,161,33,1091,0,2
3073,77,8,270,29,3258,230,226,129,541,1,1
2995,251,9,495,86,6158,201,246,183,5276,1,2
3054,35,6,319,61,5219,219,227,144,3567,1,2
3044,59,10,391,75,5385,228,220,125,966,1,2
2968,40,4,540,65,2952,220,231,148,1657,1,2
3243,19,22,150,14,4246,197,186,119,3434,0,1
2568,137,16,85,25,960,243,232,113,309,1,2
3397,216,6,815,68,1188,214,246,169,4162,0,1
2942,112,3,270,-9,4507,224,236,148,5253,1,2
3039,96,2,212,37,3069,223,236,149,514,1,1
3102,95,5,255,27,4572,229,232,138,3055,1,1
3166,266,10,175,50,2643,194,245,189,918,0,2
2975,184,15,618,35,2893,223,249,156,2282,0,2
2523,35,11,60,8,531,219,215,131,5635,1,2
2754,1,16,242,41,2594,194,207,148,361,0,1
3369,284,4,360,30,1170,209,240,169,2274,0,1
3257,276,6,600,23,601,203,241,178,573,0,1
2745,33,17,192,22,1348,214,201,118,1798,1,1
3021,117,7,424,-35,5731,232,234,135,2863,1,1
3021,83,6,331,-13,2634,228,230,137,1490,0,2
3207,69,15,677,293,1878,235,208,100,2635,0,1
3201,26,15,402,142,1176,212,205,127,361,1,1
3185,20,10,277,43,1315,213,218,141,4890,0,1
3178,221,4,295,11,1517,215,244,166,150,0,1
2941,180,21,67,29,1689,223,248,147,750,0,2
2530,144,14,42,11,201,239,236,123,1482,1,2
3026,212,6,150,-31,2233,215,246,168,977,0,2
2949,20,8,0,0,3569,215,224,145,1771,1,2
2994,24,11,297,18,1710,214,216,137,1323,0,2
3229,346,8,671,26,1678,205,228,161,1092,0,1
3306,270,1,301,51,5771,216,238,160,543,1,1
3161,30,12,228,46,5250,216,214,132,2760,1,2
3034,0,0,703,69,5610,218,238,156,5716,1,2
3162,45,6,319,46,4878,222,227,140,1489,1,1
3181,313,16,180,42,2497,174,226,191,362,0,1
2864,9,18,366,162,2879,197,202,138,1814,1,2
2757,289,12,30,7,1919,186,238,193,2676,1,2
3148,324,4,134,30,5467,209,235,164,547,1,1
2954,59,11,424,19,2533,228,217,120,2401,1,2
3094,37,12,120,-10,2676,219,212,126,1200,0,1
2844,104,12,218,36,658,241,224,111,2683,0,2
3152,145,13,560,74,390,238,237,126,1921,0,2
2719,13,15,90,0,1776,204,208,139,1371,1,2
3097,342,15,297,75,2863,188,217,167,2455,0,1
2907,153,11,362,52,2469,233,241,138,2100,0,2
2685,40,16,67,-3,1543,220,204,115,1842,0,2
3380,355,24,247,87,2452,172,188,148,2548,1,1
3373,49,10,170,-8,4120,224,218,127,1250,1,1
2914,323,2,153,10,4253,213,236,161,3941,1,2
3009,57,15,256,42,4794,229,207,108,1624,1,1
3060,168,21,360,29,5514,231,243,133,1681,1,2
2941,216,22,180,79,626,192,254,190,1616,0,2
2917,113,19,85,20,3736,249,217,88,5117,1,1
2796,220,15,408,82,3787,201,253,186,1718,0,2
3221,63,14,295,38,5664,232,211,109,2200,1,1
3020,15,8,573,40,1222,213,223,147,2356,1,2
3287,313,16,85,53,4634,175,226,191,684,1,2
2838,164,16,531,219,510,233,243,136,819,0,2
2758,74,3,90,3,1082,224,233,144,907,0,1
2903,9,15,285,-22,5317,202,210,142,3994,1,2
3241,130,16,395,103,779,244,229,109,2256,1,2
3069,297,19,636,52,1523,165,231,205,752,0,2
2823,63,19,256,75,2416,233,196,87,402,0,2
3279,308,8,552,119,4170,197,235,178,2362,0,1
2586,52,9,418,88,1200,225,221,130,1590,0,2
3070,14,4,60,3,1648,216,231,153,1761,1,2
3203,277,4,120,-15,3412,209,240,169,1557,1,1
3273,34,25,330,125,1425,206,175,92,2322,0,2
2937,356,15,743,203,424,195,212,154,1337,0,2
2794,176,4,162,8,2388,221,241,156,2067,1,2
3136,333,8,488,-49,994,201,229,168,953,0,1
2881,23,14,108,11,1718,211,209,131,2806,0,2
2663,22,24,60,37,1441,198,182,111,2599,1,2
3084,76,17,313,109,1924,239,206,92,3786,1,1
2876,356,17,127,35,3874,190,206,152,2796,1,2
2566,69,7,379,65,437,227,227,134,927,1,2
3149,196,8,566,66,150,219,247,163,2439,0,2
2714,23,4,270,47,1065,218,231,151,1800,1,2
3148,172,19,458,54,2188,229,245,140,964,0,2
3033,72,4,0,0,3615,224,232,144,277,1,1
2955,108,14,120,26,3554,243,223,107,6457,1,2
3304,67,14,30,-10,2037,233,212,109,3058,1,1
2952,45,13,190,33,4660,223,210,119,6026,1,2
2785,54,8,67,5,819,225,223,131,2949,0,2
3270,152,15,751,56,659,237,239,129,2769,0,2
3017,77,5,0,0,836,227,230,138,2268,1,2
3166,301,28,510,99,1664,131,215,218,3178,1,1
2853,28,9,30,0,2850,217,220,139,2763,1,2
2846,117,8,270,19,859,234,233,131,216,1,2
3132,300,14,630,221,5356,180,234,194,938,1,2
3229,343,6,150,15,3260,207,230,162,1868,1,1
3185,241,8,391,76,5603,204,247,181,1318,1,2
3235,91,18,450,73,4231,245,208,85,1149,1,2
2960,247,19,216,77,2976,176,251,209,2054,0,2
3265,106,15,30,7,743,244,221,101,883,0,1
2945,81,5,60,-4,2160,226,231,140,1600,1,1
2850,70,6,362,49,3449,226,229,137,6332,1,2
3257,355,15,124,46,2021,194,212,155,1316,0,1
